ID,Variable name ,Register type,Register address,Address length,Data type,Character set,String length ,The mode of reading and writing,Variable description,Initial value,Minimum value,Maximum value,Engineering quantity conversion,Original minimum,Origianl maximum,Random generation of simulation,Power-off protection,Variable Grouping,Variable Categorie,Slave Station,Slave register type,Slave address,Read write mode of slave station
238,shift_1_start_hour,W,0,1,SHORT,,0,rw,,,0,23,,,,0,0,,,0,,,,
239,shift_1_start_min,W,1,1,SHORT,,0,rw,,,0,59,,,,0,0,,,0,,,,
240,shift_1_stop_hour,W,2,1,SHORT,,0,rw,,,0,23,,,,0,0,,,0,,,,
241,shift_1_stop_min,W,3,1,SHORT,,0,rw,,,0,59,,,,0,0,,,0,,,,
242,shift_2_start_hour,W,4,1,SHORT,,0,rw,,,0,23,,,,0,0,,,0,,,,
243,shift_2_start_min,W,5,1,SHORT,,0,rw,,,0,59,,,,0,0,,,0,,,,
244,shift_2_stop_hour,W,6,1,SHORT,,0,rw,,,0,23,,,,0,0,,,0,,,,
245,shift_2_stop_min,W,7,1,SHORT,,0,rw,,,0,59,,,,0,0,,,0,,,,
